Ingrediente Lista 1,Ingrediente Lista 2,Indice di Fuzzy
capperi e olive taggiasche,olive teaggiasche,59
capperi lacrimella in aceto,aceto,61
capperi lacrimella in aceto,cappero,71
carciofi a spicchi surgelati,carciofo,69
carciofi a spicchi surgelati,gelato,59
carne salada a fette,carne,70
carne salata,carne,89
carne salata,carne macinata,62
carne salata,carne macinato,55
carne salata,carne salada trentina,58
carne salata,insalata,56
carne salata,ricotta salata,55
carne trita di bovino e suino,carne,59
carne trita scelta di bovino,carne,60
carote,carne,58
carote,carota a julienne,82
carote,carota media,97
carote,carota piccola,80
carote,carota tritata,80
carote,carote,100
carote,carote al netto degli scarti,65
carote,carote già pulite,82
carote,carote medie,97
carote,carote novella,90
carote,carote piccole,90
carote,carote tritata,90
carote,carote viola,97
carote cubettate,carota,85
carote cubettate,carote,85
carote cubettate,carote tritata,58
carote cubettate cotte,carota,73
carote cubettate cotte,carote,73
carote e asparagi,asparago,86
carote e asparagi,carota,82
carote e asparagi,carote,82
carote e zucchine cubettate,carota,66
carote e zucchine cubettate,carote,66
carote e zucchine cubettate,zucca,61
carote e zucchine cubettate,zucchina,76
carote e zucchine cubettate,zucchine,76
carote e zucchine cubettate cotte,carota,61
carote e zucchine cubettate cotte,carote,61
carote e zucchine cubettate cotte,zucca,56
carote e zucchine cubettate cotte,zucchina,69
carote e zucchine cubettate cotte,zucchine,69
carote fiammifero,carota,82
carote fiammifero,carote,82
carote julienne,carota,78
carote julienne,carota a julienne,70
carote julienne,carote,87
carote julienne,carote già pulite,55
carote pelate,carota,93
carote pelate,carote,93
carote pelate,carote già pulite,58
carote pelate,carote medie,58
carote pelate,carote novella,59
carote pelate,carote viola,58
carote pelate,farro pelato,58
carote pelate,farro perlato,55
carote pelate,mandorle pelate,57
carote pelate,pelati,83
carote rondelle cotte,carota,67
carote rondelle cotte,carote,74
carote rondelle surgelate,carota,69
carote rondelle surgelate,carote,69
carote rondelle surgelate,gelato,62
casera valtellina dop,casatella dop ( o altro formaggio morbido),59
catalogna,castagna,66
catalogna,scalogni,57
catalogna,scalogno,57
cavatelli freschi,cavatelli freschi,100
cavatelli freschi,fava fresche,55
cavatelli freschi,piselli freschi,60
cavoletti bruxelles,cavoletti di bruxelles,74
cavoletti bruxelles,cavoli,78
cavoletti bruxelles,cavolo,70
cavolfiore grattugiato,caciocavallo grattugiato,56
cavolfiore grattugiato,caciocavallo podolico grattugiato,55
cavolfiore grattugiato,cavolfiore bianco,58
cavolfiore grattugiato,cavolfiore giallo,62
cavolfiore grattugiato,cavolfiore grande,58
cavolfiore grattugiato,cavoli,73
cavolfiore grattugiato,cavolo,73
cavolfiore grattugiato,cocco grattugiato,62
cavolfiore grattugiato,formaggio grattugiato,56
cavolfiore grattugiato,pane grattuggiato,58
cavolfiore grattugiato,pane grattugiato,59
cavolfiore grattugiato,pecorino grattugiato,57
cavolfiori,cavolfiore grande,97
cavolfiori,cavolfiore lesso,99
cavolfiori,cavolfiore media grandezza,86
cavolfiori cubettati,cavolfiore,97
cavolfiori cubettati,cavoli,76
cavolfiori cubettati,cavolo,76
cavolini di bruxelles cotti,cavoletti di bruxelles,62
cavolini di bruxelles cotti,cavoli,66
cavolini di bruxelles cotti,cavolo,66
cavolini di bruxelles surgelati,cavoletti di bruxelles,58
cavolini di bruxelles surgelati,cavoli,62
cavolini di bruxelles surgelati,cavolo,57
cavolini di bruxelles surgelati,gelato,57
cavolo cappuccio rosso julienne,cavoli,62
cavolo cappuccio rosso julienne,cavoli cappuccio rosso,63
cavolo cappuccio rosso julienne,cavolo,62
cavolo cappuccio rosso julienne,cavolo cappuccio,98
cavolo rosso,aceto rosso,56
cavolo rosso,aglio rosso,62
cavolo rosso,cavolfiore lesso,57
cavolo rosso,cavoli,86
cavolo rosso,cavoli cappuccio rosso,57
cavolo rosso,cavoli nero,56
cavolo rosso,cavoli rosso,74
cavolo rosso,cavolo,97
cavolo rosso,cavolo nero,62
cavolo rosso,cipollotto rosso,57
cavolo rosso,colorante rosso,59
cavolo rosso,fagiolo rossi,58
cavolo rosso,sale frosso,56
cavolo rosso,sale grosso,56
cavolo rosso,tonno rosso,56
cavolo rosso,vino rosso,58
ceci bio,ceci,67
ceci bio,ceci neri,57
ceci bio cotti,ceci cotti,66
ceci bio cotti,ceci precotti,59
cetriolo,cetriolino sottaceto,87
cetriolo,cetriolo,100
cetriolo,cetriolo di media grandezza,76
cetriolo,cetriolo sbucciato,92
cetriolo,stridolo,60
cetriolo a fette,pancetta a fette,55
cheesecake con coulis ai frutti di bosco,frutti di bosco,85
chiodi di garofano,chiodi di garofano,100
ciabattina di semola di grano duro,farina di semola di grano duro,70
ciabattina di semola di grano duro,farina di semola rimacinata di grano duro,60
ciabattina di semola di grano duro,farina semola di grano duro,66
ciabattina di semola di grano duro,farina semola rimacinata di grano duro,55
ciabattina di semola di grano duro,pasta mista di grano duro,57
ciabattina di semola di grano duro,semola,60
ciliegine di mozzarella,ciliegie,82
ciliegine di mozzarella,ciliegini,86
ciliegine di mozzarella,mozzarella,91
cime di rapa surgelate,gelato,66
cipolla,cipolla,100
cipolla,cipolla bianca,97
cipolla,cipolla bianca di media grandezza,65
cipolla,cipolla bianca grossa,80
cipolla,cipolla bianca media,82
cipolla,cipolla bianca o dorata,77
cipolla,cipolla bianca piccola,78
cipolla,cipolla biancoa,94
cipolla,cipolla bionda,97
cipolla,cipolla di tropea,88
cipolla,cipolla di tropea piccola,74
cipolla,cipolla disidratata,84
cipolla,cipolla dorata,97
cipolla,cipolla grossa,97
cipolla,cipolla in polvere,86
cipolla,cipolla novella,94
cipolla,cipolla o scalogno,86
cipolla,cipolla piccola,94
cipolla,cipolla ramata,97
cipolla,cipolla rossa,100
cipolla,cipolla rossa di tropea,77
cipolla,cipolla rossa di tropea piccola,67
cipolla,cipolla rossa piccola,80
cipolla,cipolla tritata,94
cipolla,cipolle al netto degli scarti,69
cipolla,cipolle bianca,97
cipolla,cipolle bianca di chioggia,72
cipolla,cipolle bianche,94
cipolla,cipolle bionda,97
cipolla,cipolle borrettane,86
cipolla,cipolle di tropea,88
cipolla,cipolle di tropea grandi,75
cipolla,cipolle dorata,97
cipolla,cipolle già pulita,86
cipolla,cipolle grande,97
cipolla,cipolle grandi e tonde,78
cipolla,cipolle novelle,85
cipolla,cipolle piccole tritate finemente,65
cipolla,cipolle rossa,100
cipolla,cipolle rossa di tropea,77
cipolla,cipolle rossa grande,82
cipolla,cipolle rossa piccole,80
cipolla,cipolle rosse,90
cipolla,cipolle rosse di tropea,77
cipolla,cipolle tritata,94
cipolla,cipolle tritata fine,82
cipolla,cipolline borrettana,82
cipolla,cipolline borrettane,82
cipolla,cipollotto fresco,80
cipolla,cipollotto la parte verde,74
cipolla,cipollotto piccolo,78
cipolla,cipollotto rosso,82
cipolla,cipollotto rosso di tropea,72
cipolla,citronella,57
cipolla,cola,58
cipolla,erba cipollina,97
cipolla,erba cipollina fresca,80
cipolla,erba cipollina i fiori,78
cipolla,erba cipollina per decorare,71
cipolla,erba cipollina tritato,78
cipolla,pollo,97
cipolla affettata,bresaola affettata,59
cipolla affettata,cipolla,88
cipolla affettata,cipolla disidratata,58
cipolla affettata,cipolla dorata,57
cipolla affettata,cipolla ramata,62
cipolla affettata,cipolla tritata,65
cipolla affettata,cipolle,88
cipolla affettata,cipolle tritata,60
cipolla affettata,mortadella affettata,61
