Nome,Quantita,Unità di misura
Granseola,0,Unità
Alga Wakame essiccata,0,g
Olio di sesamo,0,Cucchiaio
Sesamo semi,0,Cucchiaio
Coriandolo fresco,0,Unità
Tonno filetto fresco abbattuto,0,g
Alga Kombu,0,Foglio
Zucchero bianco semolato bianco,0,Cucchiaino
Pollo,0,Unità
Grana Padano,0,g
Fecola,0,g
Spaghetti,0,g
Piselli surgelati,0,g
Spinaci,0,g
Latte,0,ml
Pomodori ciliegini,0,Unità
Brandy,0,Bicchiere
Burro salato,0,g
Pane tipo baguette,0,unità
Erba cipollina,0,Mazzetto
Pelati,0,Lattina
Lievito per dolci,0,g
Panna acida,0,g
Salmone affumicato,0,g
Salmone fresco abbattuto,0,g
Sale alle erbe,0,Unità
Panna fresca,0,ml
Sale Maldon,0,Unità
Piselli Gialli (Dhal),0,g
Cumino in polvere,0,g
Curcuma in polvere,0,g
sale fino,0,g
olio di girasole,0,g
Spinaci freschi,0,g
Cipolla di Tropea,0,Unità
Farina di farro,0,g
Burro di soia,0,g
Salvia essiccata,0,Unità
Semi di girasole,0,Unità
Melagrana i chicchi,0,Unità
Pasta sfoglia rettangolare,0,rotolo
Funghi chiodini,0,g
Funghi champignon,0,Unità
Ricotta vaccina salata,0,g
"Prosciutto cotto, a fette spesse un paio di millimetri",0,g
Pane toscano,0,Fette
Zucchero di canna,0,Cucchiai
Ginepro bacche,0,Unità
Carciofo violetto,0,Unità
Brodo granulare,0,Cucchiaino
Mozzarella bocconcini,0,g
Insalata foglia di quercia,0,Unità
Aceto balsamico,0,Cucchiai
Polenta,0,g
Cavoli rosso,0,g
Pecorino romano grattugiato,0,Cucchiai
Tabasco verde,0,goccia
Farina tipo 2,0,g
Farina integrale,0,g
Acqua freddissima,0,ml
Uvetta,0,Manciata
Scalogni,0,Unità
Curry in polvere,0,Pizzico
Salame cacciatorino,0,g
Pecorino,0,g
Pasta,0,g
Paprika affumicata,0,Cucchiaino
Pomodori concetrato,0,Cucchiai
Maiale fegato,0,g
Maiale retina,0,Unità
Finocchietto semi,0,Unità
Zucca delica,0,g
Farina di mais giallo,0,Cucchiai
Farina tipo 1,0,g
Fico secchi,0,Unità
Gorgonzola,0,g
Ceci lessati,0,g
Cipolle piccole tritate finemente,0,Unità
